인물: 워런 버핏 | 의견: 매도 | 확신도: 7 | 근거: PER 52.5x는 투기적 수준
인물: 필립 피셔 | 의견: 매수 | 확신도: 8 | 근거: 식각 45~50% 점유율
인물: 피터 린치 | 의견: 매수 | 확신도: 7 | 근거: PEG 1.17
인물: 존 템플턴 | 의견: 매수 | 확신도: 7 | 근거: 52주 고점 대비 31% 하락
인물: 벤저민 그레이엄 | 의견: 관망 | 확신도: 5 | 근거: PER 52.5x는 안전마진 없음
인물: 조엘 그린블라트 | 의견: 관망 | 확신도: 5 | 근거: ROC 우수하나 EY 낮음
인물: 앙드레 코스톨라니 | 의견: 관망 | 확신도: 5 | 근거: 시장 A2~A3 국면
인물: 세스 클라먼 | 의견: 관망 | 확신도: 5 | 근거: 내재가치 182달러
인물: 애스워스 다모다란 | 의견: 매도 | 확신도: 7 | 근거: DCF 내재가치 182달러
인물: 잭 슈웨거 | 의견: 관망 | 확신도: 5 | 근거: 추세 불분명
인물: 마이클 버리 | 의견: 매도 | 확신도: 8 | 근거: 52x earnings는 사이클 피크
인물: 뉴욕주민 | 의견: 매수 | 확신도: 7 | 근거: AI 시대 구조적 수요
인물: 모니시 파브라이 | 의견: 매수 | 확신도: 7 | 근거: 3D 구조의 식각 필수성
